
mysql> select * from subscriber;
+-----+--------------+------------+-----+--------+
| id  | firstname    | lastname   | age | gender |
+-----+--------------+------------+-----+--------+
|   1 | Иванов       | Аваз       |  37 | MALE   |
|   2 | Кузнецов     | Аввакум    |  30 | MALE   |
|   3 | Попов        | Август     |  28 | MALE   |
|   4 | Кузьмина     | Агата      |  17 | FEMALE |
|   5 | Кудрявцева   | Агнесса    |  27 | FEMALE |
|   6 | Баранова     | Агния      |  17 | FEMALE |
|   7 | Куликова     | Ада        |  58 | FEMALE |
|   8 | Алексеева    | Адель      |  28 | FEMALE |
|   9 | Петров       | Агафон     |  55 | MALE   |
|  10 | Волков       | Аггей      |  14 | MALE   |
|  11 | Соловьёв     | Адам       |  18 | MALE   |
|  12 | Сергеева     | Аза        |  22 | FEMALE |
|  13 | Романова     | Азалия     |  56 | FEMALE |
|  14 | Захарова     | Азиза      |  37 | FEMALE |
|  15 | Борисова     | Аида       |  55 | FEMALE |
|  16 | Королева     | Айлин      |  28 | FEMALE |
|  17 | Виноградов   | Айнур      |  21 | MALE   |
|  18 | Пономарева   | Алевтина   |  24 | FEMALE |
|  19 | Воробьёв     | Аким       |  33 | MALE   |
|  20 | Фёдоров      | Алан       |  46 | MALE   |
|  21 | Медведева    | Алика      |  35 | FEMALE |
|  22 | Беляев       | Александр  |  36 | MALE   |
|  23 | Тарасов      | Алексей    |  48 | MALE   |
|  24 | Соболева     | Алира      |  25 | FEMALE |
|  25 | Комаров      | Альберт    |  24 | MALE   |
|  26 | Полякова     | Альберта   |  21 | FEMALE |
|  27 | Киселёв      | Амадей     |  31 | MALE   |
|  28 | Данилова     | Альвина    |  43 | FEMALE |
|  29 | Жукова       | Альжбета   |  17 | FEMALE |
|  30 | Ковалёв      | Амвросий   |  43 | MALE   |
|  31 | Журавлева    | Амина      |  47 | FEMALE |
|  32 | Николаева    | Амира      |  40 | FEMALE |
|  33 | Путина       | Алия       |  42 | FEMALE |
|  34 | Молчанова    | Анна       |  32 | FEMALE |
|  35 | Крылова      | Анастасия  |  26 | FEMALE |
|  36 | Баранов      | Андоим     |  46 | MALE   |
|  37 | Куликов      | Андрей     |  40 | MALE   |
|  38 | Осипова      | Анжела     |  20 | FEMALE |
|  39 | Степанов     | Антон      |  47 | MALE   |
|  40 | Федотова     | Анита      |  12 | FEMALE |
|  41 | Шарапов      | Арий       |  55 | MALE   |
|  42 | Егорова      | Анжелика   |  19 | FEMALE |
|  43 | Панина       | Лика       |  51 | FEMALE |
|  44 | Матвеева     | Антонина   |  25 | FEMALE |
|  45 | Боброва      | Анфиса     |  52 | FEMALE |
|  46 | Сазонов      | Арнольд    |  58 | MALE   |
|  47 | Якушев       | Арон       |  12 | MALE   |
|  48 | Анисимова    | Алира      |  37 | FEMALE |
|  49 | Сорокин      | Арсений    |  34 | MALE   |
|  50 | Пугачева     | Ариадна    |  33 | FEMALE |
|  51 | Романов      | Артем      |  35 | MALE   |
|  52 | Тимофеева    | Артемида   |  10 | FEMALE |
|  53 | Никифорова   | Архелия    |  33 | FEMALE |
|  54 | Королёв      | Архип      |  41 | MALE   |
|  55 | Герасимов    | Аскар      |  42 | MALE   |
|  56 | Пономарёв    | Аскольд    |  17 | MALE   |
|  57 | Маркова      | Аурелия    |  48 | FEMALE |
|  58 | Лазарев      | Афанасий   |  34 | MALE   |
|  59 | Суханова     | Аюна       |  52 | FEMALE |
|  60 | Ершов        | Ашот       |  51 | MALE   |
|  61 | Александрова | Белла      |  59 | FEMALE |
|  62 | Соболев      | Бежен      |  57 | MALE   |
|  63 | Шестакова    | Берта      |  22 | FEMALE |
|  64 | Казакова     | Биргит     |  42 | FEMALE |
|  65 | Цветков      | Бернард    |  34 | MALE   |
|  66 | Данилов      | Бертран    |  18 | MALE   |
|  67 | Жуков        | Богдан     |  11 | MALE   |
|  68 | Фролов       | Болеслав   |  25 | MALE   |
|  69 | Журавлёв     | Борис      |  12 | MALE   |
|  70 | Николаев     | Бронислав  |  12 | MALE   |
|  71 | Мельникова   | Валерия    |  41 | FEMALE |
|  72 | Щербакова    | Ванда      |  21 | FEMALE |
|  73 | Блинова      | Ванесса    |  56 | FEMALE |
|  74 | Колесникова  | Варвара    |  10 | FEMALE |
|  75 | Князев       | Вальтер    |  16 | MALE   |
|  76 | Смирнова     | Венера     |  15 | FEMALE |
|  77 | Кузнецова    | Вера       |  25 | FEMALE |
|  78 | Шашков       | Вацлав     |  50 | MALE   |
|  79 | Соколова     | Вероника   |  55 | FEMALE |
|  80 | Максимов     | Венедикт   |  25 | MALE   |
|  81 | Сидоров      | Вениамин   |  34 | MALE   |
|  82 | Осипов       | Викентий   |  59 | MALE   |
|  83 | Морозова     | Веста      |  49 | FEMALE |
|  84 | Федоров      | Вилли      |  47 | MALE   |
|  85 | Волкова      | Виктория   |  24 | FEMALE |
|  86 | Егоров       | Виссарион  |  21 | MALE   |
|  87 | Васильева    | Виолетта   |  49 | FEMALE |
|  88 | Бобров       | Витольд    |  34 | MALE   |
|  89 | Павлова      | Виргиния   |  30 | FEMALE |
|  90 | Калинин      | Владислав  |  44 | MALE   |
|  91 | Анисимов     | Владлен    |  39 | MALE   |
|  92 | Виноградова  | Влада      |  11 | FEMALE |
|  93 | Богданова    | Владислава |  38 | FEMALE |
|  94 | Тимофеев     | Всеволод   |  41 | MALE   |
|  95 | Никифоров    | Вячеслав   |  38 | MALE   |
|  96 | Михайлова    | Галина     |  37 | FEMALE |
|  97 | Беляева      | Габриэлла  |  41 | FEMALE |
|  98 | Тарасова     | Габи       |  51 | FEMALE |
|  99 | Большаков    | Гастон     |  53 | MALE   |
| 100 | Суханов      | Гаяс       |  47 | MALE   |
| 101 | Миронов      | Гевор      |  40 | MALE   |
| 102 | Киселева     | Гелла      |  21 | FEMALE |
| 103 | Макарова     | Гелианна   |  25 | FEMALE |
| 104 | Андреева     | Генриетта  |  32 | FEMALE |
| 105 | Шестаков     | Геракл     |  40 | MALE   |
| 106 | Казаков      | Геральд    |  31 | MALE   |
| 107 | Гусева       | Герда      |  16 | FEMALE |
| 108 | Денисов      | Герман     |  54 | MALE   |
| 109 | Кузьмина     | Глафира    |  10 | FEMALE |
| 110 | Фомин        | Гордей     |  39 | MALE   |
| 111 | Давыдов      | Гордон     |  55 | MALE   |
| 112 | Мельников    | Горислав   |  28 | MALE   |
| 113 | Алексеева    | Дана       |  58 | FEMALE |
| 114 | Блинов       | Григорий   |  14 | MALE   |
| 115 | Колесников   | Гурий      |  41 | MALE   |
| 116 | Сорокина     | Дания      |  56 | FEMALE |
| 117 | Сергеева     | Данута     |  54 | FEMALE |
| 118 | Романова     | Дарина     |  32 | FEMALE |
| 119 | Захарова     | Дария      |  56 | FEMALE |
| 120 | Исаков       | Даниэль    |  23 | MALE   |
| 121 | Королева     | Даша       |  35 | FEMALE |
| 122 | Аксёнов      | Дарий      |  32 | MALE   |
| 123 | Пономарева   | Дебора     |  26 | FEMALE |
| 124 | Григорьева   | Джема      |  14 | FEMALE |
| 125 | Котов        | Демосфен   |  20 | MALE   |
| 126 | Горбунов     | Демьян     |  43 | MALE   |
| 127 | Кудряшов     | Денис      |  59 | MALE   |
| 128 | Никитина     | Дина       |  48 | FEMALE |
| 129 | Зуев         | Джордан    |  23 | MALE   |
| 130 | Рябова       | Диодора    |  51 | FEMALE |
| 131 | Савельев     | Добрыня    |  10 | MALE   |
| 132 | Летов        | Дональд    |  10 | MALE   |
| 133 | Рыбаков      | Донат      |  49 | MALE   |
| 134 | Суворов      | Дорофей    |  31 | MALE   |
| 135 | Абрамов      | Евгений    |  59 | MALE   |
| 136 | Журавлева    | Дэнна      |  22 | FEMALE |
| 137 | Николаева    | Ева        |  12 | FEMALE |
| 138 | Путина       | Евгения    |  20 | FEMALE |
| 139 | Молчанова    | Евдокия    |  29 | FEMALE |
| 140 | Крылова      | Екатерина  |  44 | FEMALE |
| 141 | Рожков       | Егор       |  43 | MALE   |
| 142 | Самсонов     | Елеазар    |  47 | MALE   |
| 143 | Мясников     | Елисей     |  19 | MALE   |
| 144 | Лихачёв      | Емельян    |  29 | MALE   |
| 145 | Буров        | Еремей     |  23 | MALE   |
| 146 | Сысоев       | Ермолай    |  22 | MALE   |
| 147 | Егорова      | Женевьева  |  26 | FEMALE |
| 148 | Мартынов     | Ефим       |  58 | MALE   |
| 149 | Матвеева     | Зара       |  29 | FEMALE |
| 150 | Горшков      | Жан        |  33 | MALE   |
| 151 | Дмитриева    | Зарина     |  11 | FEMALE |
| 152 | Овчинников   | Жорж       |  15 | MALE   |
| 153 | Анисимова    | Зинаида    |  31 | FEMALE |
| 154 | Панфилов     | Зиновий    |  45 | MALE   |
| 155 | Копылов      | Ибрагим    |  49 | MALE   |
| 156 | Антонова     | Златослава |  18 | FEMALE |
| 157 | Тимофеева    | Зоя        |  22 | FEMALE |
| 158 | Назаров      | Игорь      |  43 | MALE   |
| 159 | Веселова     | Ветта      |  41 | FEMALE |
| 160 | Лукин        | Ильдар     |  51 | MALE   |
| 161 | Беляков      | Ильнар     |  15 | MALE   |
| 162 | Потапов      | Ильнур     |  18 | MALE   |
| 163 | Некрасов     | Илья       |  11 | MALE   |
| 164 | Хохлов       | Ильяс      |  38 | MALE   |
| 165 | Миронова     | Илона      |  46 | FEMALE |
| 166 | Александрова | Инара      |  59 | FEMALE |
| 167 | Коновалова   | Индира     |  11 | FEMALE |
| 168 | Русаков      | Ипполит    |  19 | MALE   |
| 169 | Казакова     | Инесса     |  48 | FEMALE |
| 170 | Ефимова      | Инна       |  31 | FEMALE |
| 171 | Тетерин      | Камиль     |  46 | MALE   |
| 172 | Колобов      | Карим      |  13 | MALE   |
| 173 | Субботин     | Карл       |  13 | MALE   |
| 174 | Фокин        | Кирилл     |  38 | MALE   |
| 175 | Давыдова     | Ирма       |  49 | FEMALE |
| 176 | Воронцов     | Кондрат    |  38 | MALE   |
| 177 | Ермаков      | Константин |  23 | MALE   |
| 178 | Дроздов      | Корней     |  16 | MALE   |
| 179 | Колесникова  | Камилла    |  40 | FEMALE |
| 180 | Юрченко      | Лавр       |  20 | MALE   |
| 181 | Логинов      | Лаврентий  |  19 | MALE   |
| 182 | Сафонов      | Лев        |  17 | MALE   |
| 183 | Капустин     | Леон       |  34 | MALE   |
| 184 | Кириллов     | Леонид     |  32 | MALE   |
| 185 | Моисеев      | Леонтий    |  34 | MALE   |
| 186 | Козлова      | Каторина   |  35 | FEMALE |
| 187 | Новикова     | Кира       |  57 | FEMALE |
| 188 | Костин       | Лукьян     |  49 | MALE   |
| 189 | Петрова      | Клара      |  22 | FEMALE |
| 190 | Орехов       | Макарий    |  59 | MALE   |
| 191 | Ефремов      | Максим     |  33 | MALE   |
| 192 | Васильева    | Ксения     |  46 | FEMALE |
| 193 | Зайцева      | Келен      |  41 | FEMALE |
| 194 | Калашников   | Марк       |  31 | MALE   |
| 195 | Кабанов      | Марсель    |  14 | MALE   |
| 196 | Голубева     | Ландыш     |  46 | FEMALE |
| 197 | Юдин         | Матвей     |  47 | MALE   |
| 198 | Богданова    | Лали       |  39 | FEMALE |
| 199 | Воробьева    | Лариса     |  17 | FEMALE |
